Rank,Released,Released Worldwide,Release Year,Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Opening Weekend Theaters,Maximum Theaters,Theatrical Engagements,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office
11,"Feb 7, 2020","Feb 5, 2020",2020,Birds of Prey And the Fantabulous Em,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,82000000,4236,4236,18348,33010017,84158461,103685420,121200000,205358461
12,"Dec 31, 2020","Dec 20, 2020",2020,Chai Dan Zhuan Jia Er,,Action,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,203481407,203481407
13,"Dec 31, 2020","Jul 8, 2021",2020,Chinese Doctors,,Drama,Original Screenplay,Live Action,Science Fiction,0,0,0,0,0,0,0,196863514,196863514
14,"Jan 15, 2020","Jul 19, 2019",2020,Weathering with You,GKIDS,Drama,Original Screenplay,Digital Animation,Science Fiction,0,486,1020,1994,1808533,8056636,9895051,188563956,196620592
15,"Dec 25, 2020","Dec 16, 2020",2020,Wonder Woman 1984,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,200000000,2151,2218,29470,16701957,46801036,54806722,122800000,169601036
16,"Dec 31, 2020","Oct 23, 2020",2020,Jin gang chuan,,Drama,Original Screenplay,Live Action,Dramatization,0,0,0,0,0,0,0,167007608,167007608
17,"Feb 28, 2020","Feb 26, 2020",2020,The Invisible Man,Universal,Horror,Based on Fiction Book/Short Story,Live Action,Science Fiction,7000000,3610,3636,10856,28205665,64914050,79975804,74097915,139011965
18,"Mar 6, 2020","Feb 28, 2020",2020,Onward,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,200000000,4310,4310,8620,39119861,61555145,75837542,71763323,133318468
19,"Dec 31, 2020","Dec 27, 2020",2020,Warm Hug,,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,132213520,132213520
20,"Nov 20, 2020","Nov 20, 2020",2020,Soul,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,200000000,0,1350,2700,0,946154,946154,119122676,120068830
21,"Jan 24, 2020","Dec 27, 2019",2020,The Gentlemen,STX Entertainment,Action,Original Screenplay,Live Action,Contemporary Fiction,22000000,2165,2675,12801,10651884,36471796,44934212,76680426,113152222
22,"Dec 1, 2020","Jan 19, 2019",2020,Boonie Bears: Blast Into The Past,,Adventure,Original Screenplay,Digital Animation,Kids Fiction,0,0,0,0,0,0,0,112294128,112294128
23,"Feb 21, 2020","Jan 3, 2020",2020,The Call of the Wild,20th Century Studios,Adventure,Based on Fiction Book/Short Story,Live Action,Historical Fiction,125000000,3752,3914,14732,24791624,62342368,76807431,45008823,107351191
24,"Dec 31, 2020","Apr 15, 2021",2020,Meitantei Konan Hiiro no Dangan,,Action,Based on Comic/Graphic Novel,Hand Animation,Contemporary Fiction,0,0,0,0,0,0,0,102541050,102541050
25,"Jan 3, 2020","Dec 23, 2019",2020,Chong Ai,CMC Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,99550700,99550700
26,"Jan 25, 2020","Jan 24, 2020",2020,Jin Ji Jiu Yuan,CMC Pictures,Action,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,74889133,74889133
27,"Sep 4, 2020","Jul 23, 2020",2020,Mulan,Walt Disney,Adventure,Based on Folk Tale/Legend/Fairytale,Live Action,Historical Fiction,200000000,0,0,0,0,0,0,69973540,69973540
28,"Dec 31, 2020","Nov 20, 2020",2020,Stand by Me Doraemon 2,,Comedy,Original Screenplay,Digital Animation,Science Fiction,0,0,0,0,0,0,0,66606471,66606471
29,"Dec 31, 2020","Apr 25, 2021",2020,Sao Hei Jue Zhan,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,62810000,62810000
30,"Dec 31, 2020","Dec 8, 2020",2020,Mu Yu Zhi Wang,,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,62460000,62460000
31,"Dec 31, 2020","Apr 1, 2021",2020,Man in Love,,Drama,Based on Movie,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,54253498,54253498
32,"Dec 31, 2020","Dec 4, 2020",2020,Ru Guo Sheng Yin Bu Ji De,,Drama,Original Screenplay,Live Action,Fantasy,0,0,0,0,0,0,0,51890000,51890000
33,"Jan 3, 2020","Dec 31, 2019",2020,The Grudge,Sony Pictures,Horror,Original Screenplay,Live Action,Contemporary Fiction,10000000,2642,2642,7144,11404113,21216148,40219683,28286969,49503117
34,"Dec 31, 2020","Jan 29, 2021",2020,I Fell in Love Like a Flower Bouquet,,Drama,Compilation,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,49399764,49399764
35,"Feb 14, 2020","Feb 12, 2020",2020,Fantasy Island,Sony Pictures,Horror,Based on TV,Live Action,Contemporary Fiction,7000000,2784,2784,10169,12310420,26441782,32576962,22624494,49066276
36,"Apr 10, 2020","Mar 12, 2020",2020,Trolls: World Tour,,Musical,Based on Toy,Digital Animation,Kids Fiction,90000000,0,0,0,0,0,0,48866407,48866407
37,"Dec 31, 2020","Jul 17, 2020",2020,I m From Today,,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,47895889,47895889
38,"Feb 14, 2020","Sep 26, 2019",2020,Shaun the Sheep Movie: Farmageddon,Netflix,Adventure,Original Screenplay,Digital Animation,Kids Fiction,0,0,0,0,0,0,0,47862290,47862290
39,"Dec 18, 2020","Feb 18, 2020",2020,Monster Hunter,Sony Pictures,Action,Based on Game,Live Action,Science Fiction,60000000,1736,1817,20193,2201269,15162470,17463964,32691423,47853893
40,"Aug 28, 2020","Aug 26, 2020",2020,The New Mutants,20th Century Studios,Horror,Based on Comic/Graphic Novel,Live Action,Super Hero,67000000,2412,2754,20198,7037017,23855569,29390686,23679682,47535251
41,"Oct 9, 2020","Aug 28, 2020",2020,The War with Grandpa,101 Studios,Comedy,Based on Fiction Book/Short Story,Live Action,Kids Fiction,38000000,2250,2365,28177,3623880,21277892,25906008,25541177,46819069
42,"Dec 31, 2020","Sep 26, 2020",2020,Yi Dian Jiu Dao Jia,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,46389109,46389109
43,"Nov 20, 2020","Jan 25, 2020",2020,Ji Xian Feng,Gravitas Ventures,Action,Original Screenplay,Live Action,Contemporary Fiction,0,1375,1375,3125,380428,793525,977648,45192820,45986345
44,"Sep 11, 2020","Sep 2, 2020",2020,After We Collided,,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,0,0,546,2048,0,2386483,2940204,40919909,43306392
45,"Dec 31, 2020","Aug 7, 2020",2020,Eiga Doraemon: Nobita no shin kyÃ´ryÃ»,,Adventure,Based on Comic/Graphic Novel,Digital Animation,Kids Fiction,0,0,0,0,0,0,0,43035655,43035655
46,"Dec 18, 2020","Jul 31, 2020",2020,Greenland,STX Entertainment,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,34000000,0,0,0,0,0,0,40629075,40629075
47,"Jan 10, 2020","Nov 29, 2019",2020,Underwater,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,65000000,2791,2791,8376,7008297,17291078,21303064,21886417,39177495
48,"Dec 31, 2020","Apr 29, 2021",2020,Jin Qian Di Guo Zhui: Hu Qin Long,,Action,Original Screenplay,Live Action,Historical Fiction,0,0,0,0,0,0,0,38611941,38611941
49,"Aug 14, 2020","Jul 16, 2020",2020,Unhinged,,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,33000000,299,2402,20690,601032,20831465,25664912,16507639,37339104
50,"Mar 13, 2020","Nov 29, 2019",2020,Bloodshot,Sony Pictures,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,45000000,2861,2861,2861,9176695,10021787,12347104,27141267,37163054
51,"Jun 8, 2020","Feb 3, 2017",2020,Raid Dingue,,Action,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,36360000,36360000
52,"Dec 31, 2020","Jan 21, 2021",2020,Da Hong Bao,,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,36010000,36010000
53,"Aug 7, 2020","Jul 15, 2020",2020,Peninsula,,Horror,Original Screenplay,Live Action,Science Fiction,16000000,48,151,909,118647,1224525,1508652,33866998,35091523
54,"Jan 24, 2020","Jan 22, 2020",2020,Namsaneui Bujangdeul,Capelight Pictures,Thriller/Suspense,Based on Factual Book/Article,Live Action,Dramatization,0,2,22,26,16514,113527,139871,34843440,34956967
55,"Dec 31, 2020","Apr 29, 2021",2020,Mi Mi Fang Ke,,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,33881087,33881087
56,"Dec 31, 2020","Aug 5, 2020",2020,Daman Akeseo Guhasoseo,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,33606785,33606785
57,"Dec 31, 2020","Jan 1, 2021",2020,Posledniy bogatyr. Koren Zla,,Adventure,Based on Folk Tale/Legend/Fairytale,Live Action,Fantasy,0,0,0,0,0,0,0,33396899,33396899
58,"Oct 9, 2020","Oct 8, 2020",2020,Honest Thief,,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,30000000,0,2502,15407,0,14163574,17449894,18446057,32609631
59,"May 12, 2020","Feb 14, 2019",2020,The Queen s Corgi,,Adventure,Original Screenplay,Digital Animation,Contemporary Fiction,0,0,0,0,0,0,0,31550316,31550316
60,"Mar 6, 2020","Dec 6, 2019",2020,Nan Fang Che Zhan De Ju Hui,Film Movement,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,0,1,5,6,4573,12573,15495,31074768,31087341
61,"Dec 25, 2020","Dec 19, 2019",2020,Pinocchio,Roadside Attractions,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Kids Fiction,13200000,786,824,4859,272109,1831718,2095664,28528657,30360375
62,"Feb 26, 2020","Dec 20, 2019",2020,Boku no H r Akademia The Movie H,FUNimation,Adventure,Based on Comic/Graphic Novel,Digital Animation,Super Hero,0,1260,1275,1959,5891252,13553826,16698672,16463337,30017163
63,"Feb 27, 2020","Jul 12, 2019",2020,GekijÃ´-ban poketto monsutÃ¢ - MyÃ»ts,,Action,Based on Game,Digital Animation,Kids Fiction,0,0,0,0,0,0,0,29753435,29753435
64,"Oct 22, 2020","Oct 22, 2020",2020,The Witches,,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,100000000,0,0,0,0,0,0,29100000,29100000
65,"May 15, 2020","May 15, 2020",2020,Scoob,Warner Bros.,Adventure,Based on TV,Digital Animation,Kids Fiction,90000000,0,2500,2500,0,2188425,2433731,26560260,28748685
66,"Dec 31, 2020","Dec 4, 2020",2020,Soul Snatcher,,Action,Based on Fiction Book/Short Story,Live Action,Fantasy,0,0,0,0,0,0,0,28501108,28501108
67,"Feb 21, 2020","Feb 13, 2020",2020,Emma.,Focus Features,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,10000000,5,1732,3399,234482,10055355,12388465,17310433,27365788
68,"Jan 10, 2020","Jan 10, 2020",2020,Like a Boss,Paramount Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,29000000,3078,3081,8964,10011272,22169514,27313424,4394374,26563888
69,"Dec 31, 2020","Dec 4, 2024",2020,Firefighters,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,25170899,25170899
70,"Mar 10, 2020","Jun 27, 2018",2020,Manyeo,,Action,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,24217796,24217796
71,"Dec 31, 2020","Jun 13, 2021",2020,Qi Pao,,Drama,,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,22930000,22930000
72,"Jan 21, 2020","Feb 5, 2019",2020,ShÃ©ntÃ n pÃºs ng lÃ­ng,,Action,Based on Folk Tale/Legend/Fairytale,Multiple Production Methods,Fantasy,0,0,0,0,0,0,0,22799838,22799838
73,"Dec 31, 2020","Jun 10, 2021",2020,Never Stop,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,22114909,22114909
74,"Jan 31, 2020","Jan 30, 2020",2020,Gretel Hansel,United Artists,Horror,Based on Folk Tale/Legend/Fairytale,Live Action,Historical Fiction,5000000,3007,3007,8719,6154007,15347654,18908714,6704802,22052456
75,"Oct 9, 2020","Jul 26, 2019",2020,A Rainy Day in New York,Amazon Studios,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,6,6,6,2744,2744,3382,22000000,22002744
76,"Oct 6, 2020","Feb 21, 2020",2020,Digimon Adventure: Last Evolution Kizuna,,Adventure,Based on Comic/Graphic Novel,Digital Animation,Kids Fiction,0,0,0,0,0,0,0,21914375,21914375
77,"Dec 11, 2020","Dec 11, 2020",2020,New Interpretations Records of the Th,,Comedy,,Live Action,,0,0,0,0,0,0,0,21843413,21843413
78,"Dec 17, 2020","Oct 9, 2020",2020,Druk,Mongrel Media,Drama,Original Screenplay,Live Action,Contemporary Fiction,5700000,7,7,14,938,44205,49267,21654690,21698895
79,"Dec 31, 2020","Jun 11, 2021",2020,Island Keeper,,Drama,Based on Real Life Events,Live Action,Dramatization,0,0,0,0,0,0,0,21640000,21640000
80,"Dec 31, 2020","Aug 28, 2020",2020,Jiko Bukken: Kowai Madori,,,Based on Factual Book/Article,Live Action,Dramatization,0,0,0,0,0,0,0,21204112,21204112
81,"Dec 31, 2020","Jun 26, 2021",2020,Ge Ming Zhe,,Drama,Based on Real Life Events,Live Action,Dramatization,0,0,0,0,0,0,0,21150000,21150000
82,"Dec 31, 2020","Jul 30, 2021",2020,Eiga Kureyon Shin-chan: Nazo Meki Ha,,Adventure,,Digital Animation,Kids Fiction,0,0,0,0,0,0,0,21065168,21065168
83,"Jul 3, 2020","Jul 3, 2020",2020,Hamilton,Walt Disney,Musical,Based on Musical or Opera,Live Action,Historical Fiction,0,0,1850,5005,0,16946377,16946377,3938350,20884727
84,"Feb 14, 2020","Feb 14, 2020",2020,The Photograph,Universal,Drama,Original Screenplay,Live Action,Contemporary Fiction,15000000,2516,2516,7061,12181865,20578185,25352858,126196,20704381
85,"Dec 31, 2020","Nov 26, 2020",2020,Yi miao zhong,,Drama,Original Screenplay,Live Action,Historical Fiction,0,0,0,0,0,0,0,20327572,20327572
86,"Mar 13, 2020","Oct 11, 2019",2020,Yedinci Ko u taki Mucize,,Drama,Based on Real Life Events,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,20145623,20145623
87,"Feb 21, 2020","Feb 20, 2020",2020,Brahms: The Boy II,STX Entertainment,Horror,Original Screenplay,Live Action,Contemporary Fiction,10000000,2151,2151,6264,5823006,12611536,15537746,6356790,18968326
88,"Dec 31, 2020","Feb 18, 2021",2020,Konyek Gorbunok,,Adventure,Based on Folk Tale/Legend/Fairytale,Animation/Live Action,Fantasy,0,0,0,0,0,0,0,18959116,18959116
89,"Dec 25, 2020","Dec 25, 2020",2020,Promising Young Woman,Focus Features,Black Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,1310,1448,15765,719305,6460965,7330101,12393201,18854166
90,"Jan 10, 2020","Aug 30, 2019",2020,Les misÃ©rables,Amazon Studios,Drama,Based on Real Life Events,Live Action,Dramatization,0,4,69,221,24154,330181,406787,18519566,18849747
91,"Jan 24, 2020","Jan 23, 2020",2020,The Turning,Universal,Horror,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,12000000,2571,2571,8051,6950045,15472775,19062858,2987964,18460739
92,"Nov 13, 2020","Nov 12, 2020",2020,Freaky,Universal,Horror,Original Screenplay,Live Action,Contemporary Fiction,6000000,2472,2472,10961,3600355,9030855,11086819,9042578,18073433
93,"Dec 31, 2020","Dec 31, 2020",2020,Stillwater,Focus Features,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,2611,9887,0,14465535,16087039,2778167,17243702
94,"Dec 31, 2020","Jan 8, 2021",2020,Ji Hun,,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,17100000,17100000
95,"Dec 31, 2020","Oct 16, 2020",2020,The Story of Xi Bao,,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,17060000,17060000
96,"Dec 31, 2020","Oct 21, 2020",2020,Adieu les cons,,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,16975942,16975942
97,"Mar 13, 2020","Mar 11, 2020",2020,I Still Believe,Lionsgate,Drama,Based on Real Life Events,Live Action,Dramatization,12000000,3250,3250,4725,9103614,10410004,12825393,6293747,16703751
98,"Feb 9, 2020","Nov 29, 2019",2020,Prityazhenie 2,Self Distributed,Drama,Original Screenplay,Live Action,Science Fiction,0,0,0,0,0,0,0,16433163,16433163
99,"Jan 7, 2020","Jan 7, 2020",2020,Red Dog,,Documentary,Based on Real Life Events,Live Action,Factual,0,0,0,0,0,0,0,15788420,15788420
100,"Mar 6, 2020","Mar 5, 2020",2020,The Way Back,Warner Bros.,Drama,Original Screenplay,Live Action,Contemporary Fiction,23000000,2718,2718,5436,8170315,13590514,16743867,1900000,15490514
1,"Dec 17, 2021","Dec 14, 2021",2021,Spider-Man: No Way Home,Sony Pictures,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,200000000,4336,4336,64054,260138569,814811535,896901419,1106395051,1921206586
2,"Nov 19, 2021","Sep 30, 2021",2021,The Battle at Lake Changjin,CMC Pictures,Action,Based on Real Life Events,Live Action,Dramatization,0,20,20,55,105768,333214,370561,808074694,808407908
3,"Oct 8, 2021","Sep 29, 2021",2021,No Time to Die,United Artists,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,250000000,4407,4407,27874,55225007,160891007,178921463,598038764,758929771
4,"Jun 25, 2021","May 20, 2021",2021,F9: The Fast Saga,Universal,Action,Original Screenplay,Live Action,Contemporary Fiction,200000000,4179,4203,26222,70043165,173005945,192398945,546354123,719360068
5,"Apr 23, 2021","Oct 16, 2020",2021,Demon Slayer: Kimetsu no Yaiba The,FUNimation,Adventure,Based on Comic/Graphic Novel,Digital Animation,Fantasy,15750000,1605,2087,12284,21144800,50272044,55437783,462432019,512704063
6,"Oct 1, 2021","Sep 30, 2021",2021,Venom: Let There be Carnage,Sony Pictures,Action,Spin-Off,Animation/Live Action,Super Hero,110000000,4225,4225,33227,90033210,213550366,237452375,287996556,501546922
7,"Mar 31, 2021","Mar 25, 2021",2021,Godzilla vs. Kong,Warner Bros.,Action,Original Screenplay,Live Action,Science Fiction,155000000,3064,3084,28241,32200000,100916094,112228225,369200000,470116094
8,"Sep 3, 2021","Sep 1, 2021",2021,Shang-Chi and the Legend of the Ten R,Walt Disney,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,150000000,4300,4300,28852,75388688,224543292,249713332,207681342,432224634
9,"Oct 22, 2021","Sep 15, 2021",2021,Dune,Warner Bros.,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,165000000,4125,4125,26545,41011174,111031267,123130417,318518799,429550066
10,"Dec 22, 2021","Dec 1, 2021",2021,Sing 2,Universal,Musical,Original Screenplay,Digital Animation,Kids Fiction,85000000,3892,3892,45789,22326230,162790990,177757506,241743598,404534588
11,"Nov 5, 2021","Nov 3, 2021",2021,Eternals,Walt Disney,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,200000000,4090,4090,24370,71297219,164870264,183344611,236861495,401731759
12,"Jul 9, 2021","Jul 7, 2021",2021,Black Widow,Walt Disney,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,200000000,4160,4275,25585,80366312,183651655,204237971,196099476,379751131
13,"Aug 13, 2021","Aug 11, 2021",2021,Free Guy,20th Century Studios,Action,Original Screenplay,Live Action,Science Fiction,0,4165,4165,32093,28365416,121626598,135260260,201452243,323078841
14,"May 28, 2021","May 26, 2021",2021,A Quiet Place: Part II,Paramount Pictures,Horror,Original Screenplay,Live Action,Science Fiction,61000000,3726,3744,28739,47547231,160215764,178175048,136434592,296650356
15,"Nov 24, 2021","Nov 24, 2021",2021,Encanto,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,150000000,3980,3980,27695,27206494,96093622,106657383,134721540,230815162
16,"May 28, 2021","May 26, 2021",2021,Cruella,Walt Disney,Comedy,Spin-Off,Live Action,Historical Fiction,100000000,3892,3922,23694,21496997,86103234,95754927,139706829,225810063
17,"Aug 13, 2021","Jul 30, 2021",2021,Nou fo,Well Go USA,Action,Original Screenplay,Live Action,Contemporary Fiction,0,59,59,136,101926,385305,428491,210841979,211227284
18,"Dec 31, 2021","Oct 1, 2021",2021,Wo He Wo De Fu Be,,Drama,Compilation,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,210617350,210617350
19,"Jul 30, 2021","Jul 28, 2021",2021,Jungle Cruise,Walt Disney,Adventure,Based on Theme Park Ride,Animation/Live Action,Historical Fiction,200000000,4310,4310,32108,35018731,116987516,130101158,93482287,210469803
20,"Jun 4, 2021","Mar 7, 2021",2021,The Conjuring: The Devil Made Me Do It,Warner Bros.,Horror,Original Screenplay,Live Action,Historical Fiction,40000000,3102,3280,15559,24104332,65631050,72987920,140800000,206431050
21,"Dec 31, 2021","Feb 1, 2022",2021,Nice View,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,204449108,204449108
22,"Nov 19, 2021","Nov 18, 2021",2021,Ghostbusters: Afterlife,Sony Pictures,Comedy,Original Screenplay,Live Action,Science Fiction,75000000,4315,4315,29925,44008406,129360575,143595719,73630513,202991088
23,"Apr 30, 2021","Apr 24, 2021",2021,Xuan Ya Zhi Shang,CMC Pictures,Thriller/Suspense,Original Screenplay,Live Action,Historical Fiction,0,0,0,0,0,0,0,177454106,177454106
24,"Dec 31, 2021","Dec 17, 2021",2021,Fireflies in the Sun 2,,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,176420000,176420000
25,"Aug 5, 2021","Jul 28, 2021",2021,The Suicide Squad,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,185000000,4002,4019,16971,26205415,55817425,62074245,112900000,168717425
26,"Jul 16, 2021","Jul 14, 2021",2021,Space Jam: A New Legacy,Warner Bros.,Comedy,Original Screenplay,Animation/Live Action,Kids Fiction,150000000,3965,4002,18819,31053362,70592228,78505221,93100000,163692228
27,"Dec 22, 2021","Dec 16, 2021",2021,The Matrix Resurrections,Warner Bros.,Action,Original Screenplay,Live Action,Science Fiction,190000000,3552,3552,14355,10749011,40463197,41548111,119700000,160163197
28,"Jun 11, 2021","Mar 26, 2021",2021,Peter Rabbit 2: The Runaway,Sony Pictures,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Kids Fiction,45000000,3346,3346,16929,10101066,40501717,45041736,116713267,157214984
29,"Aug 20, 2021","Aug 11, 2021",2021,PAW Patrol: The Movie,Paramount Pictures,Adventure,Based on TV,Digital Animation,Kids Fiction,26000000,3184,3189,17614,13148340,40127371,44625426,111276048,151403419
30,"Nov 24, 2021","Nov 24, 2021",2021,House of Gucci,United Artists,Drama,Based on Factual Book/Article,Live Action,Dramatization,75000000,3471,3477,18682,14423794,53809574,59636318,93664564,147474138
31,"Jul 2, 2021","Jul 1, 2021",2021,The Boss Baby: Family Business,Universal,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,82000000,3644,3688,22269,16000665,57300280,63723322,88981452,146281732
32,"Dec 3, 2021","Nov 11, 2021",2021,Yang Ming Li Wan,Self Distributed,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,145775168,145775168
33,"Feb 12, 2021","Jan 12, 2021",2021,A Writer s Odyssey,CMC Pictures,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,144854469,144854469
34,"Feb 26, 2021","Feb 12, 2021",2021,Tom and Jerry,Warner Bros.,Adventure,Based on Short Film,Animation/Live Action,Kids Fiction,50000000,2475,2563,29929,14112629,46536687,51753191,90000000,136536687
35,"Apr 23, 2021","Mar 28, 2021",2021,Wo de jie jie,CMC Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,133996969,133996969
36,"Oct 15, 2021","Oct 14, 2021",2021,Halloween Kills,Universal,Horror,Original Screenplay,Live Action,Contemporary Fiction,20000000,3705,3727,17202,49404980,92002155,102315078,38849007,130851162
37,"Dec 22, 2021","Dec 22, 2021",2021,The King s Man,20th Century Studios,Action,Based on Comic/Graphic Novel,Live Action,Historical Fiction,100000000,3180,3180,19880,5915542,37176373,40548340,83948927,121125300
38,"Oct 1, 2021","Oct 1, 2021",2021,The Addams Family 2,United Artists,Adventure,Based on TV,Digital Animation,Kids Fiction,0,4207,4207,21549,17325007,56489153,62821271,62894083,119383236
39,"May 7, 2021","Apr 30, 2021",2021,My Love,CMC Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,117788257,117788257
40,"Feb 18, 2021","Feb 12, 2021",2021,Ren Chao Xiong Yong,CM Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,117734102,117734102
41,"Mar 5, 2021","Mar 3, 2021",2021,Raya and the Last Dragon,Walt Disney,Adventure,Original Screenplay,Digital Animation,Fantasy,0,2045,2375,29922,8502498,54723032,60857176,61480896,116203928
42,"Nov 10, 2021","Nov 10, 2021",2021,Clifford the Big Red Dog,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Kids Fiction,64000000,3700,3700,18119,16627491,48947356,54434080,64402831,113350187
43,"May 7, 2021","Apr 22, 2021",2021,Wrath of Man,United Artists,Action,Original Screenplay,Live Action,Contemporary Fiction,40000000,2875,3007,15938,8309007,27466489,30545324,76446916,103913405
44,"Dec 31, 2021","Mar 10, 2023",2021,B o N PÃ­ng n,,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,103840000,103840000
45,"Dec 31, 2021","Dec 31, 2021",2021,Fan Tan Feng Bao G,,Action,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,98941096,98941096
46,"Aug 15, 2021","Mar 8, 2021",2021,Evangelion: 3.0 1.01 Thrice Upon a Ti,GKIDS,Action,Based on TV,Digital Animation,Science Fiction,0,0,745,745,0,826140,887337,95295421,96121561
47,"Aug 17, 2021","Jan 4, 2020",2021,Xiong Chu Mo: Kuang Ye Da Lu,,Adventure,Original Screenplay,Digital Animation,Kids Fiction,0,0,0,0,0,0,0,93172870,93172870
48,"Dec 31, 2021","Feb 1, 2022",2021,Zui Leng De Qiang,,Drama,Based on Real Life Events,Live Action,Dramatization,0,0,0,0,0,0,0,90120000,90120000
49,"Dec 1, 2021","Jul 23, 2021",2021,Bai She 2: Qing She jie qi 2,,Adventure,Based on Folk Tale/Legend/Fairytale,Digital Animation,Fantasy,0,0,0,0,0,0,0,89990000,89990000
50,"Jul 23, 2021","Jul 21, 2021",2021,Old,Universal,Thriller/Suspense,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,18000000,3355,3379,17714,16854735,48276510,53688038,41560287,89836797
51,"Apr 23, 2021","Apr 8, 2021",2021,Mortal Kombat,Warner Bros.,Action,Based on Game,Animation/Live Action,Fantasy,55000000,3073,3114,15736,23302503,42326031,47070546,42100000,84426031
52,"Jul 27, 2021","Nov 14, 2020",2021,Chu bao,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,83153492,83153492
